,0,1,2,3,4,5,6,7,8,9
234,01/03/2000,18,27,32,37,70,82,88,52,00
235,04/03/2000,19,07,19,29,33,40,88,80,00
236,08/03/2000,20,04,13,15,20,32,41,28,00
237,11/03/2000,21,28,42,46,56,74,87,43,00
238,15/03/2000,22,08,17,35,61,78,89,09,00
239,18/03/2000,23,08,58,76,81,85,87,65,00
240,22/03/2000,24,02,19,22,57,65,89,61,00
241,25/03/2000,25,15,27,47,51,62,63,20,00
242,29/03/2000,26,01,06,12,26,57,70,28,00
243,01/04/2000,27,03,09,30,58,60,88,37,00
244,05/04/2000,28,10,17,33,38,67,71,73,00
245,08/04/2000,29,03,12,26,47,54,87,90,00
246,12/04/2000,30,18,24,45,58,62,80,04,00
247,15/04/2000,31,02,27,33,47,53,86,65,00
248,19/04/2000,32,05,53,64,74,77,88,78,00
249,22/04/2000,33,24,35,39,48,82,85,66,00
250,26/04/2000,34,17,51,67,70,82,86,49,00
251,29/04/2000,35,08,42,45,59,68,88,09,00
252,03/05/2000,36,01,13,37,53,62,71,09,00
253,06/05/2000,37,23,26,34,56,66,85,44,00
254,10/05/2000,38,09,12,19,39,82,86,69,00
255,13/05/2000,39,32,38,40,59,62,79,02,00
256,17/05/2000,40,11,14,19,32,78,89,09,00
257,20/05/2000,41,19,32,41,42,67,77,79,00
258,24/05/2000,42,08,10,22,72,87,90,39,00
259,27/05/2000,43,03,25,39,50,53,67,51,00
260,31/05/2000,44,04,08,19,39,63,70,66,00
261,03/06/2000,45,06,17,31,33,43,66,78,00
262,07/06/2000,46,02,04,23,38,53,59,17,00
263,10/06/2000,47,03,16,37,56,58,79,18,00
264,14/06/2000,48,15,25,50,64,80,89,72,00
265,17/06/2000,49,29,32,35,49,69,71,70,00
266,21/06/2000,50,12,15,34,43,55,75,70,00
267,24/06/2000,51,01,28,52,53,63,77,11,00
268,28/06/2000,52,03,17,18,41,63,89,48,00
269,01/07/2000,53,19,39,43,48,62,76,05,00
270,05/07/2000,54,12,34,35,50,63,88,69,00
271,08/07/2000,55,04,06,08,41,76,80,60,00
272,12/07/2000,56,11,15,16,43,49,84,48,00
273,15/07/2000,57,05,18,24,51,55,74,17,00
274,19/07/2000,58,06,37,53,60,66,72,26,00
275,22/07/2000,59,10,13,42,54,66,81,01,00
276,26/07/2000,60,03,37,40,49,53,83,44,00
277,29/07/2000,61,29,31,56,57,76,79,43,00
278,02/08/2000,62,04,39,56,59,65,78,61,00
279,05/08/2000,63,23,36,56,78,80,83,40,00
280,09/08/2000,64,18,36,47,62,75,80,41,00
281,12/08/2000,65,09,19,52,68,70,74,88,00
282,16/08/2000,66,14,21,27,49,82,83,36,00
283,19/08/2000,67,05,30,32,35,55,87,86,00
284,23/08/2000,68,11,13,20,41,76,89,29,00
285,26/08/2000,69,04,14,15,19,76,85,89,00
286,30/08/2000,70,08,16,59,61,78,90,45,00
287,02/09/2000,71,28,44,49,57,64,89,87,00
288,06/09/2000,72,07,11,48,49,64,72,08,00
289,09/09/2000,73,03,06,10,26,43,72,89,00
290,13/09/2000,74,01,45,48,69,70,89,26,00
291,16/09/2000,75,08,09,17,37,49,86,30,00
292,20/09/2000,76,12,14,29,49,62,82,79,00
293,23/09/2000,77,12,51,56,73,85,88,25,00
294,27/09/2000,78,05,48,71,84,85,87,22,00
295,30/09/2000,79,25,35,52,55,60,68,75,00
296,04/10/2000,80,02,03,15,16,24,67,07,00
297,07/10/2000,81,08,10,16,21,39,65,02,00
298,11/10/2000,82,11,54,64,70,73,77,66,00
299,14/10/2000,83,24,35,37,63,81,85,25,00
300,18/10/2000,84,15,33,41,48,52,56,82,00
301,21/10/2000,85,01,10,23,40,68,75,14,00
302,25/10/2000,86,02,38,39,41,61,76,21,00
303,28/10/2000,87,06,21,29,43,80,89,05,00
304,02/11/2000,88,02,55,76,78,81,85,71,00
305,04/11/2000,89,19,21,28,50,53,62,64,00
306,08/11/2000,90,22,42,50,53,78,83,40,00
307,11/11/2000,91,09,27,45,66,68,71,83,00
308,15/11/2000,92,01,25,26,28,53,79,73,00
309,18/11/2000,93,03,21,42,49,64,85,66,00
310,22/11/2000,94,14,25,39,50,72,89,59,00
311,25/11/2000,95,03,14,49,52,65,81,42,00
312,29/11/2000,96,13,17,29,32,35,49,56,00
313,02/12/2000,97,06,11,17,18,20,59,55,00
314,06/12/2000,98,09,16,48,70,75,77,64,00
315,09/12/2000,99,39,55,62,77,82,88,78,00
316,13/12/2000,100,08,54,62,63,66,84,45,00
317,16/12/2000,101,23,33,36,55,76,79,44,00
318,20/12/2000,102,26,36,43,47,64,90,23,00
319,23/12/2000,103,11,33,59,68,84,85,62,00
320,27/12/2000,104,01,05,14,20,39,58,76,00
321,30/12/2000,105,01,08,26,33,47,70,72,00
322,03/01/2001,01,15,25,26,33,41,62,51,00
323,08/01/2001,02,16,19,61,69,72,84,59,00
324,10/01/2001,03,08,14,30,31,35,76,75,00
325,13/01/2001,04,44,50,57,81,83,90,05,00
326,17/01/2001,05,16,22,35,41,53,62,71,00
327,20/01/2001,06,14,25,28,42,82,90,31,00
328,24/01/2001,07,29,42,56,65,80,90,78,00
329,27/01/2001,08,02,06,18,20,49,83,15,00
330,31/01/2001,09,28,46,65,70,77,86,53,00
331,03/02/2001,10,02,08,13,39,47,89,33,00
332,07/02/2001,11,04,23,56,63,71,89,84,00
333,10/02/2001,12,04,36,41,49,56,82,62,00
334,14/02/2001,13,15,22,38,62,83,86,57,00
335,17/02/2001,14,09,17,30,37,40,46,74,00
336,21/02/2001,15,06,28,46,55,56,62,64,00
